g++ -std=c++23 -O3 -Wall -Weffc++ -Wextra -Wconversion -Wsign-conversion -Werror -Wpedantic  -c -o solution.o solution.cpp
g++  point.o solution.o vector.o  -o solution
E   4	-6,693 0,1
F   8	-6,701 0,1
W   2	-8,701 0,1
R  90	-8,701 1,0
N   5	-8,696 1,0
R  90	-8,696 0,1
E   5	-3,696 0,1
S   4	-3,700 0,1
W   5	-8,700 0,1
F  68	-8,768 0,1
N   1	-8,767 0,1
F  72	-8,839 0,1
S   3	-8,842 0,1
W   3	-11,842 0,1
F  36	-11,878 0,1
E   5	-6,878 0,1
F  53	-6,931 0,1
E   1	-5,931 0,1
E   1	-4,931 0,1
N   3	-4,928 0,1
W   3	-7,928 0,1
N   5	-7,923 0,1
L 270	-7,923 1,0
S   2	-7,925 1,0
L 180	-7,925 -1,0
E   3	-4,925 -1,0
S   2	-4,927 -1,0
W   1	-5,927 -1,0
R  90	-5,927 0,1
E   5	0,927 0,1
S   1	0,928 0,1
W   5	-5,928 0,1
N   1	-5,927 0,1
F  16	-5,943 0,1
W   5	-10,943 0,1
N   2	-10,941 0,1
E   2	-8,941 0,1
N   3	-8,938 0,1
F   9	-8,947 0,1
S   3	-8,950 0,1
L 180	-8,950 0,1
F  33	-8,983 0,1
E   2	-6,983 0,1
L  90	-6,983 -1,0
R  90	-6,983 0,1
F  13	-6,996 0,1
S   4	-6,1000 0,1
W   3	-9,1000 0,1
S   5	-9,1005 0,1
F  71	-9,1076 0,1
N   1	-9,1075 0,1
S   2	-9,1077 0,1
F  49	-9,1126 0,1
E   5	-4,1126 0,1
F   3	-4,1129 0,1
S   3	-4,1132 0,1
L 270	-4,1132 1,0
N   4	-4,1128 1,0
E   3	-1,1128 1,0
R 270	-1,1128 0,1
N   2	-1,1126 0,1
L  90	-1,1126 -1,0
F  96	-97,1126 -1,0
S   3	-97,1129 -1,0
R 180	-97,1129 1,0
F  48	-49,1129 1,0
E   3	-46,1129 1,0
N   3	-46,1126 1,0
F   2	-44,1126 1,0
E   1	-43,1126 1,0
S   5	-43,1131 1,0
F  88	45,1131 1,0
W   4	41,1131 1,0
F  98	139,1131 1,0
E   5	144,1131 1,0
F  45	189,1131 1,0
R  90	189,1131 0,1
N   5	189,1126 0,1
W   5	184,1126 0,1
L  90	184,1126 -1,0
S   3	184,1129 -1,0
E   1	185,1129 -1,0
F  18	167,1129 -1,0
E   3	170,1129 -1,0
S   1	170,1130 -1,0
F  59	111,1130 -1,0
L 270	111,1130 0,1
N   4	111,1126 0,1
L 180	111,1126 0,1
W   4	107,1126 0,1
S   2	107,1128 0,1
F  88	107,1216 0,1
L  90	107,1216 -1,0
N   4	107,1212 -1,0
F   1	106,1212 -1,0
L 180	106,1212 1,0
E   4	110,1212 1,0
L  90	110,1212 0,1
W   4	106,1212 0,1
R 180	106,1212 0,1
F  50	106,1262 0,1
L 180	106,1262 0,1
W   5	101,1262 0,1
F  14	101,1276 0,1
S   4	101,1280 0,1
F   6	101,1286 0,1
R  90	101,1286 1,0
E   1	102,1286 1,0
N   5	102,1281 1,0
E   3	105,1281 1,0
F  51	156,1281 1,0
R  90	156,1281 0,1
E   5	161,1281 0,1
R  90	161,1281 1,0
F  78	239,1281 1,0
S   1	239,1282 1,0
W   4	235,1282 1,0
N   2	235,1280 1,0
R  90	235,1280 0,1
F  43	235,1323 0,1
E   2	237,1323 0,1
N   4	237,1319 0,1
R  90	237,1319 1,0
F  44	281,1319 1,0
L  90	281,1319 0,1
F  16	281,1335 0,1
N   2	281,1333 0,1
W   4	277,1333 0,1
S   2	277,1335 0,1
F  53	277,1388 0,1
S   4	277,1392 0,1
W   5	272,1392 0,1
F  30	272,1422 0,1
L  90	272,1422 -1,0
E   4	276,1422 -1,0
F  87	189,1422 -1,0
E   3	192,1422 -1,0
L  90	192,1422 0,1
S   1	192,1423 0,1
F  34	192,1457 0,1
W   1	191,1457 0,1
L  90	191,1457 -1,0
F  74	117,1457 -1,0
S   3	117,1460 -1,0
F   4	113,1460 -1,0
E   4	117,1460 -1,0
N   2	117,1458 -1,0
F  34	83,1458 -1,0
W   1	82,1458 -1,0
L 180	82,1458 1,0
F  57	139,1458 1,0
E   3	142,1458 1,0
R  90	142,1458 0,1
W   4	138,1458 0,1
N   1	138,1457 0,1
R  90	138,1457 1,0
E   3	141,1457 1,0
R 180	141,1457 -1,0
F  51	90,1457 -1,0
S   2	90,1459 -1,0
R  90	90,1459 0,1
S   1	90,1460 0,1
E   4	94,1460 0,1
S   4	94,1464 0,1
F  19	94,1483 0,1
W   3	91,1483 0,1
F  64	91,1547 0,1
E   3	94,1547 0,1
N   1	94,1546 0,1
E   2	96,1546 0,1
L  90	96,1546 -1,0
E   3	99,1546 -1,0
W   1	98,1546 -1,0
S   3	98,1549 -1,0
R  90	98,1549 0,1
F  81	98,1630 0,1
E   3	101,1630 0,1
S   5	101,1635 0,1
R  90	101,1635 1,0
F  11	112,1635 1,0
R  90	112,1635 0,1
W   4	108,1635 0,1
N   5	108,1630 0,1
W   2	106,1630 0,1
S   4	106,1634 0,1
W   1	105,1634 0,1
S   4	105,1638 0,1
F  70	105,1708 0,1
L 180	105,1708 0,1
F  75	105,1783 0,1
F  55	105,1838 0,1
S   2	105,1840 0,1
W   3	102,1840 0,1
S   1	102,1841 0,1
L  90	102,1841 -1,0
E   3	105,1841 -1,0
L  90	105,1841 0,1
W   1	104,1841 0,1
F  41	104,1882 0,1
S   3	104,1885 0,1
L  90	104,1885 -1,0
N   5	104,1880 -1,0
L  90	104,1880 0,1
W   4	100,1880 0,1
F   6	100,1886 0,1
R 180	100,1886 0,1
E   4	104,1886 0,1
F  37	104,1923 0,1
L  90	104,1923 -1,0
F  68	36,1923 -1,0
R  90	36,1923 0,1
W   3	33,1923 0,1
F  82	33,2005 0,1
S   5	33,2010 0,1
L 270	33,2010 1,0
S   5	33,2015 1,0
F  86	119,2015 1,0
L  90	119,2015 0,1
F  44	119,2059 0,1
R  90	119,2059 1,0
W   4	115,2059 1,0
R 180	115,2059 -1,0
S   3	115,2062 -1,0
F  73	42,2062 -1,0
L  90	42,2062 0,1
E   5	47,2062 0,1
R  90	47,2062 1,0
E   1	48,2062 1,0
S   3	48,2065 1,0
L  90	48,2065 0,1
F  15	48,2080 0,1
R  90	48,2080 1,0
F  84	132,2080 1,0
L  90	132,2080 0,1
R  90	132,2080 1,0
S   4	132,2084 1,0
W   2	130,2084 1,0
E   3	133,2084 1,0
R 180	133,2084 -1,0
F  29	104,2084 -1,0
R  90	104,2084 0,1
W   2	102,2084 0,1
F  28	102,2112 0,1
N   4	102,2108 0,1
E   2	104,2108 0,1
N   2	104,2106 0,1
F  66	104,2172 0,1
R  90	104,2172 1,0
E   5	109,2172 1,0
R  90	109,2172 0,1
L 270	109,2172 1,0
S   1	109,2173 1,0
F  34	143,2173 1,0
E   3	146,2173 1,0
S   3	146,2176 1,0
F  57	203,2176 1,0
N   4	203,2172 1,0
S   4	203,2176 1,0
F  27	230,2176 1,0
N   4	230,2172 1,0
W   5	225,2172 1,0
L 180	225,2172 -1,0
E   1	226,2172 -1,0
S   2	226,2174 -1,0
F   8	218,2174 -1,0
S   4	218,2178 -1,0
E   5	223,2178 -1,0
L 180	223,2178 1,0
F  40	263,2178 1,0
L  90	263,2178 0,1
N   5	263,2173 0,1
W   5	258,2173 0,1
N   2	258,2171 0,1
L 270	258,2171 1,0
F   9	267,2171 1,0
E   5	272,2171 1,0
N   2	272,2169 1,0
E   2	274,2169 1,0
L  90	274,2169 0,1
N   4	274,2165 0,1
R  90	274,2165 1,0
S   2	274,2167 1,0
E   2	276,2167 1,0
F  70	346,2167 1,0
E   1	347,2167 1,0
N   2	347,2165 1,0
F 100	447,2165 1,0
L  90	447,2165 0,1
E   1	448,2165 0,1
F  59	448,2224 0,1
L 180	448,2224 0,1
E   3	451,2224 0,1
S   3	451,2227 0,1
L 180	451,2227 0,1
F  97	451,2324 0,1
W   1	450,2324 0,1
F  61	450,2385 0,1
S   1	450,2386 0,1
E   2	452,2386 0,1
N   3	452,2383 0,1
R  90	452,2383 1,0
W   1	451,2383 1,0
E   2	453,2383 1,0
R  90	453,2383 0,1
F  50	453,2433 0,1
S   2	453,2435 0,1
W   5	448,2435 0,1
F  86	448,2521 0,1
S   1	448,2522 0,1
L  90	448,2522 -1,0
S   3	448,2525 -1,0
F   8	440,2525 -1,0
L  90	440,2525 0,1
E   2	442,2525 0,1
F  36	442,2561 0,1
L 180	442,2561 0,1
E   4	446,2561 0,1
R 180	446,2561 0,1
E   3	449,2561 0,1
N   3	449,2558 0,1
E   1	450,2558 0,1
F  94	450,2652 0,1
N   3	450,2649 0,1
F  64	450,2713 0,1
L  90	450,2713 -1,0
S   1	450,2714 -1,0
S   1	450,2715 -1,0
F  33	417,2715 -1,0
E   3	420,2715 -1,0
S   1	420,2716 -1,0
L  90	420,2716 0,1
N   3	420,2713 0,1
W   5	415,2713 0,1
N   4	415,2709 0,1
L  90	415,2709 -1,0
F  53	362,2709 -1,0
W   1	361,2709 -1,0
N   5	361,2704 -1,0
F  67	294,2704 -1,0
E   2	296,2704 -1,0
F  43	253,2704 -1,0
N   5	253,2699 -1,0
W   3	250,2699 -1,0
W   3	247,2699 -1,0
L  90	247,2699 0,1
L  90	247,2699 -1,0
E   1	248,2699 -1,0
S   4	248,2703 -1,0
W   3	245,2703 -1,0
R 180	245,2703 1,0
S   1	245,2704 1,0
F  79	324,2704 1,0
S   2	324,2706 1,0
W   2	322,2706 1,0
F  23	345,2706 1,0
L  90	345,2706 0,1
W   3	342,2706 0,1
F  65	342,2771 0,1
E   1	343,2771 0,1
R 180	343,2771 0,1
E   4	347,2771 0,1
N   3	347,2768 0,1
L 180	347,2768 0,1
S   4	347,2772 0,1
E   3	350,2772 0,1
E   5	355,2772 0,1
L  90	355,2772 -1,0
F  92	263,2772 -1,0
W   4	259,2772 -1,0
F  57	202,2772 -1,0
S   3	202,2775 -1,0
L  90	202,2775 0,1
S   2	202,2777 0,1
L  90	202,2777 -1,0
S   2	202,2779 -1,0
F  50	152,2779 -1,0
E   3	155,2779 -1,0
L  90	155,2779 0,1
S   3	155,2782 0,1
R 180	155,2782 0,1
E   4	159,2782 0,1
F  14	159,2796 0,1
E   5	164,2796 0,1
S   5	164,2801 0,1
E   3	167,2801 0,1
N   2	167,2799 0,1
L 180	167,2799 0,1
W   4	163,2799 0,1
S   5	163,2804 0,1
S   1	163,2805 0,1
L  90	163,2805 -1,0
F   1	162,2805 -1,0
S   4	162,2809 -1,0
F   4	158,2809 -1,0
R  90	158,2809 0,1
S   5	158,2814 0,1
F  15	158,2829 0,1
N   4	158,2825 0,1
L  90	158,2825 -1,0
W   3	155,2825 -1,0
L  90	155,2825 0,1
S   5	155,2830 0,1
L 270	155,2830 1,0
W   1	154,2830 1,0
R  90	154,2830 0,1
S   3	154,2833 0,1
L  90	154,2833 -1,0
W   4	150,2833 -1,0
F  16	134,2833 -1,0
R  90	134,2833 0,1
S   1	134,2834 0,1
F  61	134,2895 0,1
L  90	134,2895 -1,0
N   5	134,2890 -1,0
R  90	134,2890 0,1
F  21	134,2911 0,1
R  90	134,2911 1,0
N   4	134,2907 1,0
W   1	133,2907 1,0
F  36	169,2907 1,0
S   1	169,2908 1,0
L  90	169,2908 0,1
W   4	165,2908 0,1
R  90	165,2908 1,0
E   3	168,2908 1,0
N   1	168,2907 1,0
F  68	236,2907 1,0
N   4	236,2903 1,0
E   4	240,2903 1,0
R  90	240,2903 0,1
E   5	245,2903 0,1
S   1	245,2904 0,1
R  90	245,2904 1,0
F   2	247,2904 1,0
R  90	247,2904 0,1
E   3	250,2904 0,1
W   2	248,2904 0,1
R 180	248,2904 0,1
F  13	248,2917 0,1
R  90	248,2917 1,0
S   5	248,2922 1,0
F  99	347,2922 1,0
E   5	352,2922 1,0
R  90	352,2922 0,1
F   8	352,2930 0,1
S   5	352,2935 0,1
F  54	352,2989 0,1
L  90	352,2989 -1,0
S   4	352,2993 -1,0
R 180	352,2993 1,0
W   2	350,2993 1,0
S   1	350,2994 1,0
F  32	382,2994 1,0
W   3	379,2994 1,0
N   2	379,2992 1,0
W   3	376,2992 1,0
N   3	376,2989 1,0
E   2	378,2989 1,0
N   2	378,2987 1,0
R 180	378,2987 -1,0
S   5	378,2992 -1,0
E   1	379,2992 -1,0
R  90	379,2992 0,1
F  73	379,3065 0,1
L  90	379,3065 -1,0
W   4	375,3065 -1,0
R  90	375,3065 0,1
S   4	375,3069 0,1
F  29	375,3098 0,1
F  60	375,3158 0,1
L  90	375,3158 -1,0
N   5	375,3153 -1,0
E   3	378,3153 -1,0
N   5	378,3148 -1,0
E   1	379,3148 -1,0
F  94	285,3148 -1,0
N   1	285,3147 -1,0
E   5	290,3147 -1,0
R 180	290,3147 1,0
N   3	290,3144 1,0
E   2	292,3144 1,0
R  90	292,3144 0,1
W   3	289,3144 0,1
L 180	289,3144 0,1
F  55	289,3199 0,1
N   2	289,3197 0,1
W   2	287,3197 0,1
R 270	287,3197 -1,0
F  64	223,3197 -1,0
E   5	228,3197 -1,0
W   1	227,3197 -1,0
N   4	227,3193 -1,0
E   4	231,3193 -1,0
N   3	231,3190 -1,0
E   1	232,3190 -1,0
R  90	232,3190 0,1
E   1	233,3190 0,1
S   4	233,3194 0,1
L 270	233,3194 1,0
W   4	229,3194 1,0
S   4	229,3198 1,0
L 180	229,3198 -1,0
F  33	196,3198 -1,0
R  90	196,3198 0,1
E   5	201,3198 0,1
S   2	201,3200 0,1
W   3	198,3200 0,1
W   5	193,3200 0,1
N   3	193,3197 0,1
W   2	191,3197 0,1
F  20	191,3217 0,1
W   5	186,3217 0,1
S   3	186,3220 0,1
W   3	183,3220 0,1
R 180	183,3220 0,1
F  99	183,3319 0,1
E   1	184,3319 0,1
F   4	184,3323 0,1
E   5	189,3323 0,1
F  34	189,3357 0,1
F   1	189,3358 0,1
F  43	189,3401 0,1
S   4	189,3405 0,1
E   5	194,3405 0,1
R  90	194,3405 1,0
N   5	194,3400 1,0
F  95	289,3400 1,0
W   4	285,3400 1,0
F  10	295,3400 1,0
N   1	295,3399 1,0
L  90	295,3399 0,1
S   4	295,3403 0,1
W   2	293,3403 0,1
L  90	293,3403 -1,0
F  41	252,3403 -1,0
L 270	252,3403 0,1
F  89	252,3492 0,1
L  90	252,3492 -1,0
F  34	218,3492 -1,0
N   5	218,3487 -1,0
F   2	216,3487 -1,0
W   3	213,3487 -1,0
F  27	186,3487 -1,0
S   1	186,3488 -1,0
R 270	186,3488 0,1
W   3	183,3488 0,1
N   2	183,3486 0,1
R  90	183,3486 1,0
F  13	196,3486 1,0
N   1	196,3485 1,0
F  78	274,3485 1,0
W   4	270,3485 1,0
R  90	270,3485 0,1
S   5	270,3490 0,1
F  27	270,3517 0,1
N   5	270,3512 0,1
E   4	274,3512 0,1
F  61	274,3573 0,1
L 180	274,3573 0,1
N   2	274,3571 0,1
R  90	274,3571 1,0
W   5	269,3571 1,0
S   4	269,3575 1,0
S   4	269,3579 1,0
E   1	270,3579 1,0
F   8	278,3579 1,0
R  90	278,3579 0,1
E   2	280,3579 0,1
R  90	280,3579 1,0
E   5	285,3579 1,0
F   1	286,3579 1,0
E   1	287,3579 1,0
L  90	287,3579 0,1
F  32	287,3611 0,1
W   3	284,3611 0,1
S   1	284,3612 0,1
S   3	284,3615 0,1
R  90	284,3615 1,0
E   5	289,3615 1,0
F  84	373,3615 1,0
N   3	373,3612 1,0
F  17	390,3612 1,0
R  90	390,3612 0,1
S   2	390,3614 0,1
F  80	390,3694 0,1
L  90	390,3694 -1,0
F  84	306,3694 -1,0
S   1	306,3695 -1,0
F  63	243,3695 -1,0
R  90	243,3695 0,1
N   1	243,3694 0,1
R  90	243,3694 1,0
N   3	243,3691 1,0
F  88	331,3691 1,0
F  16	347,3691 1,0
N   3	347,3688 1,0
W   1	346,3688 1,0
N   5	346,3683 1,0
L 180	346,3683 -1,0
S   5	346,3688 -1,0
F  66	280,3688 -1,0
R  90	280,3688 0,1
W   1	279,3688 0,1
F  85	279,3773 0,1
S   1	279,3774 0,1
F  69	279,3843 0,1
R 180	279,3843 0,1
S   3	279,3846 0,1
F  67	279,3913 0,1
F  69	279,3982 0,1
W   2	277,3982 0,1
F  72	277,4054 0,1
R 180	277,4054 0,1
W   5	272,4054 0,1
F  13	272,4067 0,1
           4339 (    0.1530ms)              0 (    0.0172ms)          total (    0.3739ms)
